Model,roc_auc_macro,f1_macro,ap_macro
Metadata only,0.6018024870040051,0.00015530665482196008,0.09834509448133597
Image only,0.667916447578193,0.011816803281142355,0.13755232128758713
Image + metadata fusion,0.6733221143671296,0.004747518501343255,0.13832807746456896
